"fxt-village-human-name","人类村落"
"evt-expedition-done-WoA-1","经过[几周的掠夺后|这段时间的努力后|所有的努力后]，[幸福感|愉悦感|非凡的骄傲|释怀感]充盈着我的身心。我知道[我的|这个|自己的]名字$name [会永远被世人铭记|不会被历史遗忘|会成为胜利的代名词|在我去世后也会被记载很长一段时间|会被帝国尊重的|会被永远记载于人猿史册里]。"
"evt-goal-explore-WoA-finish","[这座雄伟的黄金城就这样屹立于周围的环境之上|这座黄金城若隐若现|我们终于到达了黄金城|远处的异国风景与这座非凡的黄金城遥相呼应|一个令人心生敬畏的人猿建筑，黄金城将是我们最后的目标|我们最终的目的地正在用那璀璨的金光指引着我们|黄金城宣告着我们的胜利|我们的目标正以那黄金制成的城市呈现给我们|这座黄金城代表着人猿科技的巅峰]。"
"evt-expedition-done-WoA-action-1","[荣耀属于人猿！|荣耀！|为了大帝！|为了名望与荣耀！|向着历史进发！|无尽的名望正等着我们！|财富与荣耀！]"
"evt-goldenCity-approach-action","接近黄金城"
"fxt-goldenCity-unearthed-name","帝国黄金城"
"evt-goal-explore-WoA-finish-action","进入黄金城"
"zn-fleeingHumans-name","逃跑的人类"
"evt-peaceful-enslavement-action","要求俘虏提供一份贡品"
"evt-peaceful-enslavement-fail","由我们远古的传统谕旨，我们宣告了一场大型狩猎。如果我们成功的话就能获得一份巨大的荣耀。人类已经被强行放到了野外并且给了它们逃跑的时间……狩猎开始了。"
"evt-peaceful-enslavement-success","人类们屈服在了我们的意志之下，明白了将它们社区的一部分上缴给我们是为其他人争取到自由的最好选择了。我们迅速地将贡品人类装到了我们的货车上。剩下的人类们无法直视它们的眼睛，它们无法承受这份屈辱。"
"evt-forceful-enslavement-action","举行一场荣耀的狩猎"
"evt-village-huntSlaves","我们大量了一下这些人类，认为它们可以作为上贡给人猿大帝的贡品。我们是否应该遵循古老传统来举行一场大型狩猎，还是直接草草地把它们交上去呢？"
"evt-peaceful-enslavement-fail-2","它们看穿了我们的威胁与谎言并且决定抓住机会表明立场。"
"evt-shrine-14-mod","我嗅了嗅空气。[这里的味道就像是在酒馆，或是|这里飘散着排泄物的恶臭，就像是|传来的恶臭仿佛夏天的人猿城贫民窟，或是]路边的臭水沟。然后我看见了蒸汽，从地面微小的裂缝中升起一股股令人作呕的臭气。"
"evt-buy-moonstone-title","购买月亮石"
"evt-buy-moonstone","我们说服了营地来卖给我们进入当地黄金城所必须的贡品。"
"evt-stoneCircle-revealSlaver-action","揭示营地"
"evt-pacify-success","我们成功地安抚了它们的情绪。暴徒们退了回去……暂时。"
"evt-pacify-action","平息暴民"
"evt-negotiate-success","一场热情浮华的演讲之后，人类们愣在了原地。暴徒们撤退了……暂时。"
"evt-negotiate-action","讲讲道理"
"evt-show-of-force-success","我们架好了武器，耀武扬威。暴徒们撤退了……暂时。"
"evt-show-of-force-action","展示力量"
"evt-seal-slaves-title","挖掘人类的生命力"
"evt-seal-slaves","人类们将它们的生命力作为贡品献给了黄金城。仪式散发出的纯粹的力量十分骇人，即便不是作为一位宫廷萨满也能感觉到周围空气中的变化。"
"evt-goldenSeal-slaves","我们走近了[一个神秘的|一个宏伟的|一个看似古老的|一个来自古代的]机械装置，似乎是由纯金制成的。看起来像是一个保存为黄金城所收集起来的贡品的地方。[我们希望通过对它施力来触发开关|我相信通过一些人类的生命力，我们可以使它运作起来|只要花时间与准备在上面我们肯定可以激活它]。然而，激活后究竟会发生什么这仍然是个谜。"
"evt-goldenSeal-1-slaves","[这花了我们不少时间，但最终|经过几个小时的仪式之后|经过不断地探索之后]我们[成功|总算熟练]地[满足|解开|解密|激活]了那个[不寻常的|神秘的|宏伟的|看似古老的|谜一般的]机械装置。突然从封印的装置中[显现|飞升|发射|延展]出一串巨大的光柱。"
"pl-berserker-title","狂战士"
"pl-berserker","香蕉烧酒上瘾的战士们。要谨慎对待。"
"pl-vanguard-title","先锋"
"pl-vanguard","帝国先锋的成员是经由山地作战训练的精英侦察兵。"
"it-lokiGun-athena-name","远古之怒"
"it-lokiGun-athena","雅典娜的个人武器是一件拥有无尽力量的远古神器。"
"narrator-1","和往常一样，帝国的[那些贵族们|那些学者们|那些佞臣们]都来向[国王大人|大帝|皇帝]呈文。他怎么会有时间理你呢？"
"narrator-2","你是个微不足道的贵族，一个无名小卒。你得将自己的名声传播出去！前往帝国的黄金城，给它们的统治者留下一份深刻的印象！"
"narrator-3","去吧，掠夺那些可悲的人类们，抓捕他们，将它们当作贡品献给黄金城。但是要小心，你的对手就在身边。"
"narrator-4","去吧，狩猎，掠夺。如果你能带着财富与名声回来，你甚至可能成为他内部圈子的一部分。为了人猿大帝！"
"outro-pyramid","黄金城"
"cl-celebration-audience-10","[我要给你生孩子！|好英俊！|我爱你！|男女搭配，干活不累！]"
"cl-celebration-audience-11","[好大一头牛！|原来水牛是长这样的啊！|看那头牛！|这头牛叫什么？]"
"cl-celebration-audience-1","[看看那头|多么|真是头][可爱|忠诚|值得信赖|勇敢]的驴！"
"cl-celebration-audience-2","[多么忠诚的狗狗！|我也想要一条这样的狗！|这条狗也应该有个勋章！]"
"cl-celebration-audience-3","[我在这儿都能闻到酒味儿！|不分享一些香蕉烧酒吗？|那是不是个香蕉烧酒瓶子？]"
"cl-celebration-audience-4","[了不起的女士！|一个女人猿，真的吗？|把探险的事交给男人猿！|我的眼睛一定是欺骗了我，一个女人猿？|回图书馆去！|时代在变化。|啊，是位女性，这可真是个惊喜！|她真是了不起。|她应该明白自己的地位！|时代在变得更好。|对于一个女人猿来说，已经很不错了。|她是社会的楷模！]"
"cl-celebration-audience-5","[一个野蛮人！|未经开化！|为什么把它带来这儿？|一个蛮子！|它会说话吗？]"
"cl-celebration-audience-6","[它是怎么活下来的？|我不喜欢那东西！|好可怕！|这是啥？！|它会说话吗？|我真的被吓到了！|这东西应当待在动物园里！|这东西亵渎了上帝！]"
"cl-celebration-audience-7","[一个人？！|其他人呢？|也许真的是一个人完成了旅行？|让人好奇队伍里的其他人发生了什么……|这一定是场孤独的探险。|其他人都死了？|只剩一个人猿？]"
"cl-celebration-audience-8","[动物大师！|一定很喜欢动物吧。|相信动物胜过人猿吗。|是不是还能和动物交流？]"
"cl-celebration-audience-9","[为什么有这么多士兵？|一定是很懂得优秀士兵的重要性。|他们是从前线回来吗？]"
"cl-celebration-audience","[好棒|耶|我希望我是你|你激励了我|神奇|辉煌|史诗|美妙|让我看看|天佑人猿女王|为了帝国|为了大帝与猿类|难以置信|妙不可言|多棒的一天|真是勇敢|太愉快了|非同寻常]！"
"cl-celebration-party-1","[是时候来一场庆功酒了！|*嗝儿*|干杯！|来一口香蕉烧酒！]"
"cl-celebration-party-2","[这都是大帝的旨意！|大帝保佑你！|只是尽我绵薄之力！]"
"cl-celebration-party-3","[随你怎么样吧。|我不在乎。|希望你现在开心了。|觉得自己是个英雄了？]"
"cl-celebration-party-4","[为什么有这么多人猿看着我？|这里感觉不安全。|这些都是为我准备的？|真是不习惯这样的场合。|人猿太多了。]"
"cl-celebration-party-5","[终于又回到了文明人猿社会。|大家放轻松，我回来了。|一切看起来都大不相同。|很高兴能回来。]"
"cl-celebration-party","[谢谢你们！|我真是受宠若惊！|你们真好！|谢谢！|啊这真是太棒了！|多么不可思议！|这太辉煌了！]"
"pk-goodReputation-title","堂皇"
"evt-harbor-recruit-soldierBritish-action","掠夺者$name "
"evt-harbor","[清晨|空气清新，带着一丝咸味，|满怀期待的|渴望着即将的掠夺，|破晓黎明之时，|一晚的休息之后，|彻夜兴奋未眠的]我[来到了甲板上|登上了甲板|上船了|将装备整理到了船上|到达了港口|飞奔到了港口|加快脚步到了甲板上]。[队员还需要一些准备工作|船长还没有到位|还有一些工作要安排|我们的船马上就可以出发了]，[所以我喝了最后杯香蕉烧酒|我站在甲板上，感受凉风吹拂|所以我坐在码头上等待船只就绪|所以我看看自己能帮上什么忙|所以我做了一个保佑旅途顺利的仪式|所以我想象了一下地平线那边有什么|所以我想象了一下大家在宫廷中低语我的名字的样子|所以我想象了一下，荣耀雕像配上我的脸，是什么样子]。"
"evt-harbor-recruit-1","[我十分荣幸能看到|作为宫廷中最有名的人猿之一|我十分高兴能见证|我那荣耀的贡品与掠夺经历传遍大街小巷，所以我并不惊讶能看到][我的名声传遍了朝臣和帝国佞臣之间|我的探险故事吸引了所有的好奇群众|我上一次的探险传说吸引了许多注意|我们的登船引起了群众围观]。[许多新成员出现了，|有许多能猿前来找我，][想要加入我们的掠夺队伍|其进取精神足够加入我的事业|渴望掠夺和荣耀|对六座帝国黄金城感到好奇|想要知道我们伟大传说的真相|渴望光荣与略懂]。我想要_招募_谁？"
"evt-harbor-recruit-2","[这次探险有机会让我在我的对手之中拔得头筹|争取第一将会十分激烈，谁都眼红人猿大帝的青睐|我之前的掠夺与贡品都十分成功，我觉得我很快就能看到我的脸刻在荣耀雕像上]。[消息已经在帝国首都里传开了|我的探险无人不知|我的名声成就了我]，[而且许多人猿前来围观我们登船|吸引了一些进取的人猿来加入我的事业|许多新人来到船边，想要加入我们的掠夺队伍]。我想要_招募_谁？"
"evt-harbor-recruit-3","[我尚且声希味淡，但是|通过我之前掠夺活动的努力，令人高兴的是][我注意到已经有一些对我们的探险感兴趣的人猿|已经有更多人猿开始对我们的船感兴趣]。我想要_招募_谁？"
"evt-harbor-select","[时间刚刚好，|终于，|我的肾上腺素正在飙升，|满心期待地，我听说][我的|我们的][船|船只]已经[准备好|预备好|蓄势准备][起航了|扬帆启程了|离开港口了|起航出发了|进行远航了|下海了]。"
"evt-harbor-recruit-mountainTrooper-action","先锋$name"
"evt-village-recruit-bloodrider-action","血骑士$name "
"evt-village-recruit-bloodrider","血骑士$name 加入了队伍。"
"evt-harbor-recruit-berzerker-action","狂战士$name "
"evt-harbor-recruit-berzerker","狂战士$name 加入了我们的队伍。"
"pk-whiskyIncrease-1-title","香蕉烧酒狂热 1"
"pk-whiskyIncrease-1","提高饮用香蕉烧酒所获得的 San 值。"
"pk-whiskyIncrease-2-title","香蕉烧酒狂热 2"
"pk-whiskyIncrease-3-title","香蕉烧酒狂热 3"
"pk-whiskyIncrease-4-title","香蕉烧酒狂热 4"
"bonus-whisky","香蕉烧酒恢复San值"
"pl-native-starting-shaman-title","宫廷萨满"
"pl-native-starting-shaman","猿人皇帝的亲信顾问之一。会施展古老的仪式，掌握着炼金术相关的神秘知识（服用蘑菇后有一定机率降低理智）"
"evt-village-recruit-shaman-action","萨满$name"
"base-sanity","士气"
"help-sanity","你的掠夺队伍的动力与满意度。降到零会触发更多灾难性的事件。"
"base-standing","支配"
"help-standing","如何让这个地区的人类屈服在你的权威之下。支配度太低会导致它们造反。"
"pl-native-starting-scout-title","帝国侦察兵"
"world-adjective","[临洲|帝国领地|城邦|帝国飞地|临国|附庸国|辅国|附属洲|附属国|巨大城市|大城|大殖民地|富有的殖民地|大省|富省|军事飞地|商户飞地|科学飞地|萨满阴谋集团|狩猎场] [执政官|领事|总督|官员|将军|军阀|军事大师|独裁者|主教|主|导师|圣人|部长|使节|霸主|监督员|摄政王|主公|巨头|伍领] [Appius|Aulus|Caeso|Caligula|Caracalla|Commodus|Decimus|Domitianus|Elagabalus|Faustus|Gaius|Gnaeus|Herius|Hostus|Lucius|Macharius|Mamercus|Manius|Marcus|Marius|Mettius|Minatius|Nero|Nerva|Nonus|Novius|Numerius|Olus|Opiter|Ovius|Paullus|Pescennius|Pompeius|Postumus|Publius|Pullo|Quintus|Salvius|Septimus|Sertor|Servius|Sextus|Spurius|Statius|Sulla|Tiberius|Titus|Tullius|Tullus|Vibius|Volesus|Vopiscus|Vorenus]"
"gol-goldenTemple-arctic","这片地区能找到一座黄金城。"
"gol-goldenTemple-buried","有一座用一份萨满幻想所伪装的黄金城。"
"gol-goldenTemple-moonStone","这片地区能找到一座黄金城。"
"empty-name",""
"evt-village-enter-neutral","[我们到达了它们的聚居点时村民们小心翼翼地观察了我们。|我们到达时，村民们还闹哄哄得，但是人类们看到了我们的队伍时就停了下来。][我们直接靠近了靠近了它们并且在村子门口停了下来|我们站在村庄门口思考了一下我们该如何对付这些人]。"
"evt-ship-arrival","[在我晨间准备的时候|我在沉浸与对该地区的研究时|今天一大早|在跨越重洋并欣赏到无数海洋生物的美妙后|在我还想着未来的掠夺时|在经过意外平静的航行后|我不敢讲述航行中的考验和磨难，但值得庆幸的是最终|经过几周的旅行|在海上无数个闲淡日子过后|在从未在船上目睹过的可怕雷暴中幸存下来后|能在公海中航行是如此光荣，不知为何我突然感到忧伤，就在这时|在度过没有香蕉还只有肮脏食物的几周后|正当我以为我们永远驶不出这片水域的时候|在下雨的清晨伴着浓雾][我们到达了当地统治者的土地|我们还是到达了掠夺区的岸边|我们到达了掠夺地区|海岸线在晨雾中升起]。[陆地就在我们面前一览无余，一望无际而且野性十足|陌生的景观吸引着我们探索|我好奇这里到底会有些怎样的危险等着我们|我们到了，是时候出发了|我知道这地方肯定有我在宫廷中提升自己地位的关键|我知道自己需要要找到并且给本地的统治者留下一份良好的印象|我知道我需要找到那座黄金城]。"
"evt-village-enter-forsaken","[村庄空无一人。|真是一副令人背后发寒的景象：就像好像这个村庄从来都没有人居住过一样。这里就连一个男人、女人、或是小孩都没有。|村庄已经完全被废弃了。][很明显人们走的很急。|这里仿佛已经被遗忘了，也很快就会融入周围的环境。]我四处搜索了一遍，但没有找到什么有用的东西。"
"evt-postNarrative-extra-1","艰难的掠夺生涯给$他的$[身体|心智|灵魂]留下了不可磨灭的伤痕，$他的$家人证实，现在的$他$只是一具空壳，只有外表还是他们所熟悉的那个人。"
"evt-postNarrative-extra-2","$他$将积累下来的财富全都用于举办一场帝国中前所未有的最大规模的，并且充满了美食与欢乐的庆典上，用来打动贵族和普通人猿们。"
"evt-postNarrative-extra-3","虽然已经初步融入了社会，$他$发现想要发展出一份新的友情是一件基本不可能的事情，稳定的社交与政治伙伴也一样。"
"evt-postNarrative-extra-4","$他的$那些掠夺给了$他$一份对于生命脆弱性的宝贵的理解方式，因此$他$每天都会花上很大精力来[提升地位|提高名声|卖给帝国贵族人情|积累财富|寻找盟友|讨好帝国宫廷]。"
"evt-postNarrative-extra-5","$他$在建立了一个巨大的动物栖地，只为容纳[从神秘之地获得的|$他$从最后一次掠夺中带回家的]各种各样的奇怪的动物。$他$也因此声名狼藉。"
"evt-postNarrative-extra-alcoholic","$他$[不论去哪儿都要随身带一瓶香蕉烧酒|觉得只有香蕉烧酒才能缓解$他的$作为平庸之人所留下的后遗症|相信香蕉烧酒才能让人表达自己的思想]。"
"evt-postNarrative-extra-animalName","一处新发现的人类栖息地以$他的$名字命名。"
"evt-postNarrative-extra-bipolar","在$他的$一生中，$他$经历了周周月月的狂躁阶段，在这期间$他$展现出了[难以置信的精力，和随之而来的长时间的衰弱消沉|极度起伏不定的情绪]。"
"evt-postNarrative-extra-cookCanibal","$他的$拿手好菜是[满是水果|混合了蘑菇|辣肉|古怪的肉]的料理。人们从帝国各地赶来品尝，但是没人能够发现其中的神秘原材料。"
"evt-postNarrative-extra-cookPyromaniac","不幸地是这地方在可疑的情况下被烧成平地。$name 无论是在[经济上|声誉上|情感上]还是精神上还没完全从那场损失中恢复。"
"evt-postNarrative-extra-cookSoup","$他$有些著名的特长是一种奇特的汤，$他$声称是在黄金城中最著名的厨师的帮助下熬制出来的。"
"evt-postNarrative-extra-firstChildName","$他$将自己的第一个孩子命名为[塑造了$他的$一生的掠夺领袖的名字|在$他的$旅途中所遇到的其中一个黄金城统治者的名字|载$他$回家的船只的名字]。"
"evt-postNarrative-extra-kleptomaniacPoor","在$他$[试图将我们掠夺中带回来的文物拿回去|试图偷走$他的$掠夺队伍带回来的人类俘虏|试图从$他的$掠夺队伍带回来的文物中偷走几件]之后就被从宫廷中赶了出去。"
"evt-postNarrative-extra-kleptomaniacRich","尽管$他的$财富的源头从不为人所知，$他$以一种[不健康的|臭名昭著的|自大浮夸的]方式享受着奢华的生活。"
"evt-postNarrative-extra-nativeFashion","$他$从未停止穿$他的$奇怪服饰，甚至在一个特殊的[夏天|冬天|季节]引发了关于[新鞋款|独特新头饰|新型掠夺方式]的时尚热潮。"
"evt-postNarrative-extra-noLoyalty","$他$之后成为了一个针对自己的掠夺经历的很厉害的评论家，写过关于可能性的[许多|一个|几个][广泛传播过的|不是很知名的][文章|书籍]，也许人类不仅仅是可悲的、几乎没有心智的动物。$他$因异端观点而受到大量批评。"
"evt-postNarrative-extra-racistChange",""
"evt-postNarrative-extra-royalName-1","[$他$被帝国宫廷正式承认为贵族，戴上了$他的$新名头与无比自豪感|$他#拒绝了帝国宫廷的正式名头]。"
"evt-postNarrative-extra-royalName-2","$他$饱受[无尽的|永不停止的]噩梦折磨，梦境全是关于他在旅途中所做的[可怕的|无法名状的|黑暗的|邪恶的]一切。"
"evt-postNarrative-extra-royalName-3","$他$对于在旅途中做的一切绝口不提。"
"evt-postNarrative-extra-royalName","[一艘皇家船|一座皇家大桥|一条皇家大道|一处皇家人类聚集地]以$他的$名字命名。"
"evt-postNarrative-extra-soldierLife","$他$因为[不顾自身危险救下了同行人猿的生命|抓捕了不计其数的人类|单枪匹马清理了一个起义的人类村庄|三天三夜不合眼只为传递重要情报]，而被授予了军功勋章。"
"evt-postNarrative-extra","$他$与大部分的幸存者都保持着联系并且直到死前每月都会与他们通信。他们在社会进步的途中一直都保持着盟友关系。"
"evt-postNarrative-extraCampaign","$name 凯旋回归[帝国首都|帝国之心|帝国中心边陲的丘陵|和平的帝国中心山谷|帝国中心的险峻高峰|苍翠繁茂的帝国中心翡翠海岸|$他$心心挂念的家乡|$他$深爱的人身边|家乡|家人身边]。雕像确实为$他$正了名，但是$他$没有停下来休息。来自远方大陆的生动梦魇依然每晚光临$他的$梦境。$他$不知道怎么了，就仿佛那些鲜活的知识在$他的$意识里逐渐形成，$他$知道自己必须再次出发，去做自己最后一次的航行。这一次，$他$不再是为了浅薄的名利，而是为了更宏大的……"
"evt-postNarrative-lateLife-alcoholicDeath","$他$[常年酗酒，英年早逝|在一次酒后斗殴中死去|在酒醉狂喷人猿大帝后被谋杀了|在一次酒后争论中被朋友杀了|整日酗酒，最终死于香蕉烧酒并发的各种疾病|在一个寒秋的拂晓，失足溺死在海里|虽然不停地喝酒，仍活到了一个较老的年纪]。"
"evt-postNarrative-lateLife-familyDeath","$他$[在$他的$家仆怀中死去|看到子孙绕膝，咽下了最后一口气]。"
"evt-postNarrative-lateLife-genericDeath","$他$活了很长一段[开心|谦逊|平静]的生活，然后在[$他的$的家庭|$他的$诡计多端的老伴|$他$忘恩负义的子孙|$他的$宫廷萨满|$他的$忠诚的宠物]面前下葬。"
"evt-postNarrative-lateLife-lepidopterophobiaDeath","在$他的$旅途中，$他$从未被对于[蝴蝶|大蛾子]的恐惧压垮过，但是[$他的$生命依然被缩减了|$他$死了]，由于[捕猎途中|散步途中|掠夺途中]的一场悲剧事故。$他$被恐惧症所压制，[变得糊涂|失控]并最终跌下悬崖。"
"evt-postNarrative-lateLife-missionaryDeath","$他$过了一段[谦逊|平静|中庸|简单]的生活，在[为人猿大帝的信念|对人猿大帝的敬仰|自律]中死去。"
"evt-postNarrative-lateLife-nativeDeath","$他$[死于疟疾|死于突发的大象攻击|死于畜群踩踏|不幸被野猪獠牙顶死|从池塘取水时被老虎咬死|在和$他的$同伴的簇拥中安详死去]。"
"evt-postNarrative-lateLife-paranoidDeath","[$他$由于认定收税员敲诈自己而杀了对方，在狱中死去|在某天晚上失踪后，$他的$下落在过去几年里一直是个谜|最后一个见到$他$的人说$他$赤身裸体在街道上跑着，并且像一个人类一样乱叫着|$他$生命中的最后几年在疗养院度过，由于袭击了房东，$他$受到了崇拜触手邪教的指控|流言四起，使$他$陷入疯狂|关于$他$成为了信仰古神的隐居放债人的流言到处流传]。"
"evt-postNarrative-lateLife-seventhWorldDeath","在$他的$之后的生活中，$他$变得时常会有[不断循环的|难以忘却的]有关那个[被人遗忘的|依稀记得的|隐藏的][黄金城的远古起源|第七次远征]的[梦境|想法|感觉|梦|噩梦]。[$他$一下子人间蒸发了|再也没有一点有关$他$的消息]。"
